Tags,Category,Type,Code,Category1,Category2,Category3
Gasoline / Petroleum / Diesel,"Gasoline, fuel and oil",Expense,line_19,,,
Gasoline / Fuel / Oil,"Gasoline, fuel and oil",Expense,line_19,,,
Gasoline / Fuel / Diesel,"Gasoline, fuel and oil",Expense,line_19,,,
Gasoline / Oil / Diesel,"Gasoline, fuel and oil",Expense,line_19,,,
Gasoline / Petrol / Petroleum / Fuel,"Gasoline, fuel and oil",Expense,line_19,,,
Gasoline / Petrol / Petroleum / Oil,"Gasoline, fuel and oil",Expense,line_19,,,
Gasoline / Petrol / Petroleum / Diesel,"Gasoline, fuel and oil",Expense,line_19,,,
Gasoline / Petrol / Fuel / Oil,"Gasoline, fuel and oil",Expense,line_19,,,
Gasoline / Petrol / Fuel / Diesel,"Gasoline, fuel and oil",Expense,line_19,,,
Gasoline / Petrol / Oil / Diesel,"Gasoline, fuel and oil",Expense,line_19,,,
Gasoline / Petroleum / Fuel / Oil,"Gasoline, fuel and oil",Expense,line_19,,,
Gasoline / Petroleum / Fuel / Diesel,"Gasoline, fuel and oil",Expense,line_19,,,
Gasoline / Petroleum / Oil / Diesel,"Gasoline, fuel and oil",Expense,line_19,,,
Gasoline / Fuel / Oil / Diesel,"Gasoline, fuel and oil",Expense,line_19,,,
Gasoline / Petrol / Petroleum / Fuel / Oil,"Gasoline, fuel and oil",Expense,line_19,,,
Gasoline / Petrol / Petroleum / Fuel / Diesel,"Gasoline, fuel and oil",Expense,line_19,,,
Gasoline / Petrol / Petroleum / Oil / Diesel,"Gasoline, fuel and oil",Expense,line_19,,,
Gasoline / Petrol / Fuel / Oil / Diesel,"Gasoline, fuel and oil",Expense,line_19,,,
Gasoline / Petroleum / Fuel / Oil / Diesel,"Gasoline, fuel and oil",Expense,line_19,,,
Gasoline / Petrol / Petroleum / Fuel / Oil / Diesel,"Gasoline, fuel and oil",Expense,line_19,,,
Petrol,"Gasoline, fuel and oil",Expense,line_19,,,
Petrol / Petroleum,"Gasoline, fuel and oil",Expense,line_19,,,
Petrol / Fuel,"Gasoline, fuel and oil",Expense,line_19,,,
Petrol / Oil,"Gasoline, fuel and oil",Expense,line_19,,,
Petrol / Diesel,"Gasoline, fuel and oil",Expense,line_19,,,
Petrol / Petroleum / Fuel,"Gasoline, fuel and oil",Expense,line_19,,,
Petrol / Petroleum / Oil,"Gasoline, fuel and oil",Expense,line_19,,,
Petrol / Petroleum / Diesel,"Gasoline, fuel and oil",Expense,line_19,,,
Petrol / Fuel / Oil,"Gasoline, fuel and oil",Expense,line_19,,,
Petrol / Fuel / Diesel,"Gasoline, fuel and oil",Expense,line_19,,,
Petrol / Oil / Diesel,"Gasoline, fuel and oil",Expense,line_19,,,
Petrol / Petroleum / Fuel / Oil,"Gasoline, fuel and oil",Expense,line_19,,,
Petrol / Petroleum / Fuel / Diesel,"Gasoline, fuel and oil",Expense,line_19,,,
Petrol / Petroleum / Oil / Diesel,"Gasoline, fuel and oil",Expense,line_19,,,
Petrol / Fuel / Oil / Diesel,"Gasoline, fuel and oil",Expense,line_19,,,
Petrol / Petroleum / Fuel / Oil / Diesel,"Gasoline, fuel and oil",Expense,line_19,,,
Petroleum,"Gasoline, fuel and oil",Expense,line_19,,,
Petroleum / Fuel,"Gasoline, fuel and oil",Expense,line_19,,,
Petroleum / Oil,"Gasoline, fuel and oil",Expense,line_19,,,
Petroleum / Diesel,"Gasoline, fuel and oil",Expense,line_19,,,
Petroleum / Fuel / Oil,"Gasoline, fuel and oil",Expense,line_19,,,
Petroleum / Fuel / Diesel,"Gasoline, fuel and oil",Expense,line_19,,,
Petroleum / Oil / Diesel,"Gasoline, fuel and oil",Expense,line_19,,,
Petroleum / Fuel / Oil / Diesel,"Gasoline, fuel and oil",Expense,line_19,,,
Fuel,"Gasoline, fuel and oil",Expense,line_19,,,
Fuel / Oil,"Gasoline, fuel and oil",Expense,line_19,,,
Fuel / Diesel,"Gasoline, fuel and oil",Expense,line_19,,,
Fuel / Oil / Diesel,"Gasoline, fuel and oil",Expense,line_19,,,
Oil / Diesel,"Gasoline, fuel and oil",Expense,line_19,,,
Diesel,"Gasoline, fuel and oil",Expense,line_19,,,
"Gas, fuel and oil","Gasoline, fuel and oil",Expense,line_19,,,
"Gasoline, fuel and oil","Gasoline, fuel and oil",Expense,line_19,,,
Insurance / Lease Insurance / Renter's Insurance / Farming Equipment Insurance / Animal Insurance / Livestock Insurance,Insurance (other than health),Expense,line_20,,,
Insurance / Lease Insurance,Insurance (other than health),Expense,line_20,,,
Insurance / Renter's Insurance,Insurance (other than health),Expense,line_20,,,
Insurance / Animal Insurance,Insurance (other than health),Expense,line_20,,,
Insurance / Livestock Insurance,Insurance (other than health),Expense,line_20,,,
Insurance / Lease Insurance / Renter's Insurance,Insurance (other than health),Expense,line_20,,,
Insurance / Lease Insurance / Farming Equipment Insurance,Insurance (other than health),Expense,line_20,,,
Insurance / Lease Insurance / Animal Insurance,Insurance (other than health),Expense,line_20,,,
Insurance / Lease Insurance / Livestock Insurance,Insurance (other than health),Expense,line_20,,,
Insurance / Renter's Insurance / Farming Equipment Insurance,Insurance (other than health),Expense,line_20,,,
Insurance / Renter's Insurance / Animal Insurance,Insurance (other than health),Expense,line_20,,,
Insurance / Renter's Insurance / Livestock Insurance,Insurance (other than health),Expense,line_20,,,
Insurance / Farming Equipment Insurance / Animal Insurance,Insurance (other than health),Expense,line_20,,,
Insurance / Farming Equipment Insurance / Livestock Insurance,Insurance (other than health),Expense,line_20,,,
Insurance / Animal Insurance / Livestock Insurance,Insurance (other than health),Expense,line_20,,,
Insurance / Lease Insurance / Renter's Insurance / Farming Equipment Insurance,Insurance (other than health),Expense,line_20,,,
Insurance / Lease Insurance / Renter's Insurance / Animal Insurance,Insurance (other than health),Expense,line_20,,,
Insurance / Lease Insurance / Renter's Insurance / Livestock Insurance,Insurance (other than health),Expense,line_20,,,
Insurance / Lease Insurance / Farming Equipment Insurance / Animal Insurance,Insurance (other than health),Expense,line_20,,,
Insurance / Lease Insurance / Farming Equipment Insurance / Livestock Insurance,Insurance (other than health),Expense,line_20,,,
Insurance / Lease Insurance / Animal Insurance / Livestock Insurance,Insurance (other than health),Expense,line_20,,,
Insurance / Renter's Insurance / Farming Equipment Insurance / Animal Insurance,Insurance (other than health),Expense,line_20,,,
Insurance / Renter's Insurance / Farming Equipment Insurance / Livestock Insurance,Insurance (other than health),Expense,line_20,,,
Insurance / Renter's Insurance / Animal Insurance / Livestock Insurance,Insurance (other than health),Expense,line_20,,,
Insurance / Farming Equipment Insurance / Animal Insurance / Livestock Insurance,Insurance (other than health),Expense,line_20,,,
Insurance / Lease Insurance / Renter's Insurance / Farming Equipment Insurance / Animal Insurance,Insurance (other than health),Expense,line_20,,,
Insurance / Lease Insurance / Renter's Insurance / Farming Equipment Insurance / Livestock Insurance,Insurance (other than health),Expense,line_20,,,
Insurance / Lease Insurance / Renter's Insurance / Animal Insurance / Livestock Insurance,Insurance (other than health),Expense,line_20,,,
Insurance / Lease Insurance / Farming Equipment Insurance / Animal Insurance / Livestock Insurance,Insurance (other than health),Expense,line_20,,,
Insurance / Renter's Insurance / Farming Equipment Insurance / Animal Insurance / Livestock Insurance,Insurance (other than health),Expense,line_20,,,
Lease Insurance,Insurance (other than health),Expense,line_20,,,
Lease Insurance / Renter's Insurance,Insurance (other than health),Expense,line_20,,,
Lease Insurance / Farming Equipment Insurance,Insurance (other than health),Expense,line_20,,,
Lease Insurance / Animal Insurance,Insurance (other than health),Expense,line_20,,,
Lease Insurance / Livestock Insurance,Insurance (other than health),Expense,line_20,,,
Lease Insurance / Renter's Insurance / Farming Equipment Insurance,Insurance (other than health),Expense,line_20,,,
Lease Insurance / Renter's Insurance / Animal Insurance,Insurance (other than health),Expense,line_20,,,
Lease Insurance / Renter's Insurance / Livestock Insurance,Insurance (other than health),Expense,line_20,,,
Lease Insurance / Farming Equipment Insurance / Animal Insurance,Insurance (other than health),Expense,line_20,,,
Lease Insurance / Farming Equipment Insurance / Livestock Insurance,Insurance (other than health),Expense,line_20,,,
Lease Insurance / Animal Insurance / Livestock Insurance,Insurance (other than health),Expense,line_20,,,
Lease Insurance / Renter's Insurance / Farming Equipment Insurance / Animal Insurance,Insurance (other than health),Expense,line_20,,,
Lease Insurance / Renter's Insurance / Farming Equipment Insurance / Livestock Insurance,Insurance (other than health),Expense,line_20,,,
Lease Insurance / Renter's Insurance / Animal Insurance / Livestock Insurance,Insurance (other than health),Expense,line_20,,,
Lease Insurance / Farming Equipment Insurance / Animal Insurance / Livestock Insurance,Insurance (other than health),Expense,line_20,,,
Lease Insurance / Renter's Insurance / Farming Equipment Insurance / Animal Insurance / Livestock Insurance,Insurance (other than health),Expense,line_20,,,
Renter's Insurance,Insurance (other than health),Expense,line_20,,,
Renter's Insurance / Farming Equipment Insurance,Insurance (other than health),Expense,line_20,,,
Renter's Insurance / Animal Insurance,Insurance (other than health),Expense,line_20,,,
Renter's Insurance / Livestock Insurance,Insurance (other than health),Expense,line_20,,,
Renter's Insurance / Farming Equipment Insurance / Animal Insurance,Insurance (other than health),Expense,line_20,,,
Renter's Insurance / Farming Equipment Insurance / Livestock Insurance,Insurance (other than health),Expense,line_20,,,
Renter's Insurance / Animal Insurance / Livestock Insurance,Insurance (other than health),Expense,line_20,,,
Renter's Insurance / Farming Equipment Insurance / Animal Insurance / Livestock Insurance,Insurance (other than health),Expense,line_20,,,
Farming Equipment Insurance / Animal Insurance,Insurance (other than health),Expense,line_20,,,
Farming Equipment Insurance / Livestock Insurance,Insurance (other than health),Expense,line_20,,,
Farming Equipment Insurance / Animal Insurance / Livestock Insurance,Insurance (other than health),Expense,line_20,,,
Animal Insurance,Insurance (other than health),Expense,line_20,,,
Animal Insurance / Livestock Insurance,Insurance (other than health),Expense,line_20,,,
Livestock Insurance,Insurance (other than health),Expense,line_20,,,
Insurance / Property Insurance,Insurance (other than health),Expense,line_20,,,
Property Insurance,Insurance (other than health),Expense,line_20,,,
Insurance Property & Auto,Insurance (other than health),Expense,line_20,,,
Insurance (other than health),Insurance (other than health),Expense,line_20,,,
Interest on loans and mortgages,Interest on loans and mortgages,Expense,line_21_a,,,
Interest on Loans,Interest on loans and mortgages,Expense,line_21_a,,,
Mortgages,Interest on loans and mortgages,Expense,line_21_a,,,
Tractor/Equipment Purchases,Unknown,Unknown,Unknown,Interest on loans and mortgages,L-T asset replacement and section 179 expense,
Tractor,Unknown,Unknown,Unknown,Interest on loans and mortgages,L-T asset replacement and section 179 expense,
Equipment Purchases,Unknown,Unknown,Unknown,Interest on loans and mortgages,L-T asset replacement and section 179 expense,
Tractors/Equipment Vehicles,Unknown,Unknown,Unknown,Rent and leases: Land and animals,Repairs and maintenance,
Tractor/Equipment Repairs,Unknown,Unknown,Unknown,Rent and leases: Land and animals,Repairs and maintenance,
L-T asset replacement and section 179 expense,L-T asset replacement and section 179 expense,Expense,line_14,,,
L-T Asset Replacement,L-T asset replacement and section 179 expense,Expense,line_14,,,
Section 179 Expenses,L-T asset replacement and section 179 expense,Expense,line_14,,,
Depreciation / Loss of Capital / Capital Lost to Time / Wear and Tear,L-T asset replacement and section 179 expense,Expense,line_14,,,
Depreciation,L-T asset replacement and section 179 expense,Expense,line_14,,,
Depreciation / Loss of Capital,L-T asset replacement and section 179 expense,Expense,line_14,,,
Depreciation / Capital Lost to Time,L-T asset replacement and section 179 expense,Expense,line_14,,,
Depreciation / Wear and Tear,L-T asset replacement and section 179 expense,Expense,line_14,,,
Depreciation / Loss of Capital / Capital Lost to Time,L-T asset replacement and section 179 expense,Expense,line_14,,,
Depreciation / Loss of Capital / Wear and Tear,L-T asset replacement and section 179 expense,Expense,line_14,,,
Depreciation / Capital Lost to Time / Wear and Tear,L-T asset replacement and section 179 expense,Expense,line_14,,,
Loss of Capital,L-T asset replacement and section 179 expense,Expense,line_14,,,
Loss of Capital / Capital Lost to Time,L-T asset replacement and section 179 expense,Expense,line_14,,,
Loss of Capital / Wear and Tear,L-T asset replacement and section 179 expense,Expense,line_14,,,
Loss of Capital / Capital Lost to Time / Wear and Tear,L-T asset replacement and section 179 expense,Expense,line_14,,,
Capital Lost to Time,L-T asset replacement and section 179 expense,Expense,line_14,,,
Capital Lost to Time / Wear and Tear,L-T asset replacement and section 179 expense,Expense,line_14,,,
Wear and Tear,L-T asset replacement and section 179 expense,Expense,line_14,,,
Section 179 Expense,L-T asset replacement and section 179 expense,Expense,line_14,,,
Depreciation & Section 179 Expense,L-T asset replacement and section 179 expense,Expense,line_14,,,
Pension / Profit-sharing / Labor / Employee / Salary Workers / Workers / Hired Labor,Pension and profit-sharing plans,Expense,line_23,,,
Pension,Pension and profit-sharing plans,Expense,line_23,,,
Pension / Profit-sharing,Pension and profit-sharing plans,Expense,line_23,,,
Pension / Labor,Pension and profit-sharing plans,Expense,line_23,,,
Pension / Employee,Pension and profit-sharing plans,Expense,line_23,,,
Pension / Salary Workers,Pension and profit-sharing plans,Expense,line_23,,,
Pension / Workers,Pension and profit-sharing plans,Expense,line_23,,,
Pension / Hired Labor,Pension and profit-sharing plans,Expense,line_23,,,
Pension / Profit-sharing / Labor,Pension and profit-sharing plans,Expense,line_23,,,
Pension / Profit-sharing / Employee,Pension and profit-sharing plans,Expense,line_23,,,
Pension / Profit-sharing / Salary Workers,Pension and profit-sharing plans,Expense,line_23,,,
Pension / Profit-sharing / Workers,Pension and profit-sharing plans,Expense,line_23,,,
Pension / Profit-sharing / Hired Labor,Pension and profit-sharing plans,Expense,line_23,,,
Pension / Labor / Employee,Pension and profit-sharing plans,Expense,line_23,,,
Pension / Labor / Salary Workers,Pension and profit-sharing plans,Expense,line_23,,,
Pension / Labor / Workers,Pension and profit-sharing plans,Expense,line_23,,,
Pension / Labor / Hired Labor,Pension and profit-sharing plans,Expense,line_23,,,
Pension / Employee / Salary Workers,Pension and profit-sharing plans,Expense,line_23,,,
Pension / Employee / Workers,Pension and profit-sharing plans,Expense,line_23,,,
Pension / Employee / Hired Labor,Pension and profit-sharing plans,Expense,line_23,,,
Pension / Salary Workers / Workers,Pension and profit-sharing plans,Expense,line_23,,,
Pension / Salary Workers / Hired Labor,Pension and profit-sharing plans,Expense,line_23,,,
Pension / Workers / Hired Labor,Pension and profit-sharing plans,Expense,line_23,,,
Pension / Profit-sharing / Labor / Employee,Pension and profit-sharing plans,Expense,line_23,,,
Pension / Profit-sharing / Labor / Salary Workers,Pension and profit-sharing plans,Expense,line_23,,,
Pension / Profit-sharing / Labor / Workers,Pension and profit-sharing plans,Expense,line_23,,,
Pension / Profit-sharing / Labor / Hired Labor,Pension and profit-sharing plans,Expense,line_23,,,
Pension / Profit-sharing / Employee / Salary Workers,Pension and profit-sharing plans,Expense,line_23,,,
Pension / Profit-sharing / Employee / Workers,Pension and profit-sharing plans,Expense,line_23,,,
Pension / Profit-sharing / Employee / Hired Labor,Pension and profit-sharing plans,Expense,line_23,,,
Pension / Profit-sharing / Salary Workers / Workers,Pension and profit-sharing plans,Expense,line_23,,,
Pension / Profit-sharing / Salary Workers / Hired Labor,Pension and profit-sharing plans,Expense,line_23,,,
Pension / Profit-sharing / Workers / Hired Labor,Pension and profit-sharing plans,Expense,line_23,,,
Pension / Labor / Employee / Salary Workers,Pension and profit-sharing plans,Expense,line_23,,,
Pension / Labor / Employee / Workers,Pension and profit-sharing plans,Expense,line_23,,,
Pension / Labor / Employee / Hired Labor,Pension and profit-sharing plans,Expense,line_23,,,
Pension / Labor / Salary Workers / Workers,Pension and profit-sharing plans,Expense,line_23,,,
Pension / Labor / Salary Workers / Hired Labor,Pension and profit-sharing plans,Expense,line_23,,,
Pension / Labor / Workers / Hired Labor,Pension and profit-sharing plans,Expense,line_23,,,
Pension / Employee / Salary Workers / Workers,Pension and profit-sharing plans,Expense,line_23,,,
Pension / Employee / Salary Workers / Hired Labor,Pension and profit-sharing plans,Expense,line_23,,,
Pension / Employee / Workers / Hired Labor,Pension and profit-sharing plans,Expense,line_23,,,
Pension / Salary Workers / Workers / Hired Labor,Pension and profit-sharing plans,Expense,line_23,,,
Pension / Profit-sharing / Labor / Employee / Salary Workers,Pension and profit-sharing plans,Expense,line_23,,,
Pension / Profit-sharing / Labor / Employee / Workers,Pension and profit-sharing plans,Expense,line_23,,,
Pension / Profit-sharing / Labor / Employee / Hired Labor,Pension and profit-sharing plans,Expense,line_23,,,
Pension / Profit-sharing / Labor / Salary Workers / Workers,Pension and profit-sharing plans,Expense,line_23,,,
Pension / Profit-sharing / Labor / Salary Workers / Hired Labor,Pension and profit-sharing plans,Expense,line_23,,,
Pension / Profit-sharing / Labor / Workers / Hired Labor,Pension and profit-sharing plans,Expense,line_23,,,
Pension / Profit-sharing / Employee / Salary Workers / Workers,Pension and profit-sharing plans,Expense,line_23,,,
Pension / Profit-sharing / Employee / Salary Workers / Hired Labor,Pension and profit-sharing plans,Expense,line_23,,,
Pension / Profit-sharing / Employee / Workers / Hired Labor,Pension and profit-sharing plans,Expense,line_23,,,
Pension / Labor / Employee / Salary Workers / Workers,Pension and profit-sharing plans,Expense,line_23,,,
Pension / Labor / Employee / Salary Workers / Hired Labor,Pension and profit-sharing plans,Expense,line_23,,,
Pension / Labor / Employee / Workers / Hired Labor,Pension and profit-sharing plans,Expense,line_23,,,
Pension / Profit-sharing / Labor / Employee / Salary Workers / Workers,Pension and profit-sharing plans,Expense,line_23,,,
Pension / Profit-sharing / Labor / Employee / Salary Workers / Hired Labor,Pension and profit-sharing plans,Expense,line_23,,,
Pension / Profit-sharing / Labor / Employee / Workers / Hired Labor,Pension and profit-sharing plans,Expense,line_23,,,
Pension / Profit-sharing / Labor / Salary Workers / Workers / Hired Labor,Pension and profit-sharing plans,Expense,line_23,,,
Pension / Profit-sharing / Employee / Salary Workers / Workers / Hired Labor,Pension and profit-sharing plans,Expense,line_23,,,
Pension / Labor / Employee / Salary Workers / Workers / Hired Labor,Pension and profit-sharing plans,Expense,line_23,,,
Profit-sharing,Pension and profit-sharing plans,Expense,line_23,,,
Profit-sharing / Labor,Pension and profit-sharing plans,Expense,line_23,,,
Profit-sharing / Employee,Pension and profit-sharing plans,Expense,line_23,,,
Profit-sharing / Salary Workers,Pension and profit-sharing plans,Expense,line_23,,,
Profit-sharing / Workers,Pension and profit-sharing plans,Expense,line_23,,,
Profit-sharing / Hired Labor,Pension and profit-sharing plans,Expense,line_23,,,
Profit-sharing / Labor / Employee,Pension and profit-sharing plans,Expense,line_23,,,
Profit-sharing / Labor / Salary Workers,Pension and profit-sharing plans,Expense,line_23,,,
Profit-sharing / Labor / Workers,Pension and profit-sharing plans,Expense,line_23,,,
Profit-sharing / Labor / Hired Labor,Pension and profit-sharing plans,Expense,line_23,,,
Profit-sharing / Employee / Salary Workers,Pension and profit-sharing plans,Expense,line_23,,,
Profit-sharing / Employee / Hired Labor,Pension and profit-sharing plans,Expense,line_23,,,
Profit-sharing / Salary Workers / Workers,Pension and profit-sharing plans,Expense,line_23,,,
Profit-sharing / Salary Workers / Hired Labor,Pension and profit-sharing plans,Expense,line_23,,,
Profit-sharing / Workers / Hired Labor,Pension and profit-sharing plans,Expense,line_23,,,
Profit-sharing / Labor / Employee / Salary Workers,Pension and profit-sharing plans,Expense,line_23,,,
Profit-sharing / Labor / Employee / Workers,Pension and profit-sharing plans,Expense,line_23,,,
Profit-sharing / Labor / Employee / Hired Labor,Pension and profit-sharing plans,Expense,line_23,,,
Profit-sharing / Labor / Salary Workers / Workers,Pension and profit-sharing plans,Expense,line_23,,,
Profit-sharing / Labor / Salary Workers / Hired Labor,Pension and profit-sharing plans,Expense,line_23,,,
Profit-sharing / Labor / Workers / Hired Labor,Pension and profit-sharing plans,Expense,line_23,,,
Profit-sharing / Employee / Salary Workers / Workers,Pension and profit-sharing plans,Expense,line_23,,,
Profit-sharing / Employee / Salary Workers / Hired Labor,Pension and profit-sharing plans,Expense,line_23,,,
Profit-sharing / Employee / Workers / Hired Labor,Pension and profit-sharing plans,Expense,line_23,,,
Profit-sharing / Salary Workers / Workers / Hired Labor,Pension and profit-sharing plans,Expense,line_23,,,
Profit-sharing / Labor / Employee / Salary Workers / Workers,Pension and profit-sharing plans,Expense,line_23,,,
Profit-sharing / Labor / Employee / Salary Workers / Hired Labor,Pension and profit-sharing plans,Expense,line_23,,,
Profit-sharing / Labor / Employee / Workers / Hired Labor,Pension and profit-sharing plans,Expense,line_23,,,
Profit-sharing / Labor / Salary Workers / Workers / Hired Labor,Pension and profit-sharing plans,Expense,line_23,,,
Profit-sharing / Employee / Salary Workers / Workers / Hired Labor,Pension and profit-sharing plans,Expense,line_23,,,
Profit-sharing / Labor / Employee / Salary Workers / Workers / Hired Labor,Pension and profit-sharing plans,Expense,line_23,,,
"Profit Sharing, Vacations, Bonus",Pension and profit-sharing plans,Expense,line_23,,,
Profit Sharing,Pension and profit-sharing plans,Expense,line_23,,,
"Profit Sharing, Vacations",Pension and profit-sharing plans,Expense,line_23,,,
"Profit Sharing, Bonus",Pension and profit-sharing plans,Expense,line_23,,,
Vacations,Pension and profit-sharing plans,Expense,line_23,,,
"Vacations, Bonus",Pension and profit-sharing plans,Expense,line_23,,,
Bonus,Pension and profit-sharing plans,Expense,line_23,,,
Pension and profit-sharing plans,Pension and profit-sharing plans,Expense,line_23,,,
Fence Materials,Unknown,Unknown,Unknown,Repairs and maintenance,Supplies,
Fence,Unknown,Unknown,Unknown,Repairs and maintenance,Supplies,
Materials,Unknown,Unknown,Unknown,Repairs and maintenance,Supplies,
Buildings,Repairs and maintenance,Expense,line_25,,,
Maintenance,Repairs and maintenance,Expense,line_25,,,
Repairs and maintenance,Repairs and maintenance,Expense,line_25,,,
Labor,Unknown,Unknown,Unknown,Pension and profit-sharing plans,Labor Hired (less employment credits),Employee benefit programs
Labor / Employee,Unknown,Unknown,Unknown,Pension and profit-sharing plans,Labor Hired (less employment credits),Employee benefit programs
Labor / Salary Workers,Unknown,Unknown,Unknown,Pension and profit-sharing plans,Labor Hired (less employment credits),
Labor / Workers,Unknown,Unknown,Unknown,Pension and profit-sharing plans,Labor Hired (less employment credits),
Labor / Hired Labor,Unknown,Unknown,Unknown,Pension and profit-sharing plans,Labor Hired (less employment credits),
Labor / Employee / Salary Workers,Unknown,Unknown,Unknown,Pension and profit-sharing plans,Labor Hired (less employment credits),
Labor / Employee / Workers,Unknown,Unknown,Unknown,Pension and profit-sharing plans,Labor Hired (less employment credits),
Labor / Employee / Hired Labor,Unknown,Unknown,Unknown,Pension and profit-sharing plans,Labor Hired (less employment credits),
Labor / Salary Workers / Workers,Unknown,Unknown,Unknown,Pension and profit-sharing plans,Labor Hired (less employment credits),
Labor / Salary Workers / Hired Labor,Unknown,Unknown,Unknown,Pension and profit-sharing plans,Labor Hired (less employment credits),
Labor / Workers / Hired Labor,Unknown,Unknown,Unknown,Pension and profit-sharing plans,Labor Hired (less employment credits),
Labor / Employee / Salary Workers / Workers,Unknown,Unknown,Unknown,Pension and profit-sharing plans,Labor Hired (less employment credits),
Labor / Employee / Salary Workers / Hired Labor,Unknown,Unknown,Unknown,Pension and profit-sharing plans,Labor Hired (less employment credits),
Labor / Employee / Workers / Hired Labor,Unknown,Unknown,Unknown,Pension and profit-sharing plans,Labor Hired (less employment credits),
Labor / Salary Workers / Workers / Hired Labor,Unknown,Unknown,Unknown,Pension and profit-sharing plans,Labor Hired (less employment credits),
Labor / Employee / Salary Workers / Workers / Hired Labor,Unknown,Unknown,Unknown,Pension and profit-sharing plans,Labor Hired (less employment credits),
Employee,Unknown,Unknown,Unknown,Pension and profit-sharing plans,Labor Hired (less employment credits),Employee benefit programs
Employee / Salary Workers,Unknown,Unknown,Unknown,Pension and profit-sharing plans,Labor Hired (less employment credits),
Employee / Workers,Unknown,Unknown,Unknown,Pension and profit-sharing plans,Labor Hired (less employment credits),
Employee / Hired Labor,Unknown,Unknown,Unknown,Pension and profit-sharing plans,Labor Hired (less employment credits),
Employee / Salary Workers / Workers,Unknown,Unknown,Unknown,Pension and profit-sharing plans,Labor Hired (less employment credits),
Employee / Salary Workers / Hired Labor,Unknown,Unknown,Unknown,Pension and profit-sharing plans,Labor Hired (less employment credits),
Employee / Workers / Hired Labor,Unknown,Unknown,Unknown,Pension and profit-sharing plans,Labor Hired (less employment credits),
Employee / Salary Workers / Workers / Hired Labor,Unknown,Unknown,Unknown,Pension and profit-sharing plans,Labor Hired (less employment credits),
Salary Workers,Unknown,Unknown,Unknown,Pension and profit-sharing plans,Labor Hired (less employment credits),
Salary Workers / Workers,Unknown,Unknown,Unknown,Pension and profit-sharing plans,Labor Hired (less employment credits),
Salary Workers / Hired Labor,Unknown,Unknown,Unknown,Pension and profit-sharing plans,Labor Hired (less employment credits),
Salary Workers / Workers / Hired Labor,Unknown,Unknown,Unknown,Pension and profit-sharing plans,Labor Hired (less employment credits),
Workers,Unknown,Unknown,Unknown,Pension and profit-sharing plans,Labor Hired (less employment credits),
Workers / Hired Labor,Unknown,Unknown,Unknown,Pension and profit-sharing plans,Labor Hired (less employment credits),
Hired Labor,Unknown,Unknown,Unknown,Pension and profit-sharing plans,Labor Hired (less employment credits),Employee benefit programs
Rental / Rent / Rent Payment / Lease /  Lease Payment,Rent and leases: Land and animals,Expense,line_24_b,,,
Rental,Rent and leases: Land and animals,Expense,line_24_b,,,
Rental / Rent,Rent and leases: Land and animals,Expense,line_24_b,,,
Rental / Rent Payment,Rent and leases: Land and animals,Expense,line_24_b,,,
Rental / Lease,Rent and leases: Land and animals,Expense,line_24_b,,,
Rental / Lease Payment,Rent and leases: Land and animals,Expense,line_24_b,,,
Rental / Rent / Rent Payment,Rent and leases: Land and animals,Expense,line_24_b,,,
Rental / Rent / Lease,Rent and leases: Land and animals,Expense,line_24_b,,,
Rental / Rent / Lease Payment,Rent and leases: Land and animals,Expense,line_24_b,,,
Rental / Rent Payment / Lease,Rent and leases: Land and animals,Expense,line_24_b,,,
Rental / Rent Payment / Lease Payment,Rent and leases: Land and animals,Expense,line_24_b,,,
Rental / Lease /  Lease Payment,Rent and leases: Land and animals,Expense,line_24_b,,,
Rental / Rent / Rent Payment / Lease,Rent and leases: Land and animals,Expense,line_24_b,,,
Rental / Rent / Rent Payment /  Lease Payment,Rent and leases: Land and animals,Expense,line_24_b,,,
Rental / Rent / Lease /  Lease Payment,Rent and leases: Land and animals,Expense,line_24_b,,,
Rental / Rent Payment / Lease /  Lease Payment,Rent and leases: Land and animals,Expense,line_24_b,,,
Rent,Rent and leases: Land and animals,Expense,line_24_b,,,
Rent / Rent Payment,Rent and leases: Land and animals,Expense,line_24_b,,,
Rent / Lease,Rent and leases: Land and animals,Expense,line_24_b,,,
Rent / Lease Payment,Rent and leases: Land and animals,Expense,line_24_b,,,
Rent / Rent Payment / Lease,Rent and leases: Land and animals,Expense,line_24_b,,,
Rent / Rent Payment /  Lease Payment,Rent and leases: Land and animals,Expense,line_24_b,,,
Rent / Lease /  Lease Payment,Rent and leases: Land and animals,Expense,line_24_b,,,
Rent / Rent Payment / Lease /  Lease Payment,Rent and leases: Land and animals,Expense,line_24_b,,,
Rent Payment,Rent and leases: Land and animals,Expense,line_24_b,,,
Rent Payment / Lease,Rent and leases: Land and animals,Expense,line_24_b,,,
Rent Payment /  Lease Payment,Rent and leases: Land and animals,Expense,line_24_b,,,
Rent Payment / Lease /  Lease Payment,Rent and leases: Land and animals,Expense,line_24_b,,,
Lease,Rent and leases: Land and animals,Expense,line_24_b,,,
Lease /  Lease Payment,Rent and leases: Land and animals,Expense,line_24_b,,,
Lease Payment,Rent and leases: Land and animals,Expense,line_24_b,,,
Land / Animals Rent / Lease,Rent and leases: Land and animals,Expense,line_24_b,,,
Land,Rent and leases: Land and animals,Expense,line_24_b,,,
